Company_name,Description,Ratings,Rating_count,No_of_reviews,Salaries,Interviews,Jobs,Benefits,Photos
TCS,IT Services & Consulting | Bengaluru +444 other locations,3.3,(1.1L),1.1L,10.2L,11.9k,4.4k,10.7k,93
Accenture,IT Services & Consulting | Bengaluru +259 other locations,3.7,(73.7k),73.7k,7L,9.4k,38.4k,6.7k,49
Wipro,IT Services & Consulting | Hyderabad +373 other locations,3.6,(65.3k),65.3k,4.9L,6.9k,333,4.7k,114
Cognizant,IT Services & Consulting | Hyderabad +232 other locations,3.7,(61.6k),61.6k,6.1L,6.5k,536,5.5k,96
Capgemini,IT Services & Consulting | Bengaluru +182 other locations,3.6,(53.6k),53.6k,4.9L,5.6k,2.2k,3.7k,42
HDFC Bank,Banking | Mumbai +1853 other locations,3.8,(52.6k),52.6k,1.5L,3.1k,343,3.3k,89
Infosys,IT Services & Consulting | Bengaluru +246 other locations,3.5,(49k),49k,5.3L,8.5k,2.1k,4.8k,120
HCLTech,IT Services & Consulting | Chennai +231 other locations,3.4,(46.1k),46.1k,3.9L,4.6k,230,3.8k,71
ICICI Bank,Banking | Mumbai +1445 other locations,4.0,(46.1k),46.1k,1.5L,3k,17,3.7k,73
Tech Mahindra,IT Services & Consulting | Hyderabad +321 other locations,3.4,(43.5k),43.5k,2.9L,4.6k,601,3.4k,79
Genpact,Analytics & KPO | Hyderabad +181 other locations,3.6,(42.5k),42.5k,2.4L,3.9k,621,3.5k,66
TP,BPO | Mumbai +256 other locations,3.9,(38.8k),38.8k,99.4k,2.3k,1.5k,1.9k,38
Jio,Telecom | Mumbai +1957 other locations,4.4,(33.7k),33.7k,61.3k,4.4k,--,2.6k,93
Axis Bank,Banking | Mumbai +1520 other locations,3.6,(33.4k),33.4k,1L,2k,269,2.2k,121
Concentrix Corporation,BPO | Bengaluru +183 other locations,3.6,(32.4k),32.4k,1.3L,2k,16,3.1k,67
Amazon,Internet | Bengaluru +515 other locations,3.9,(31.5k),31.5k,1.6L,6k,2.6k,3.6k,95
Reliance Retail,Retail | Mumbai +1161 other locations,3.9,(27.4k),27.4k,76.2k,2k,104,1.9k,142
iEnergizer,BPO | Noida +53 other locations,4.6,(27.2k),27.2k,24.8k,1.6k,92,544,29
LTIMindtree,IT Services & Consulting | Bengaluru +145 other locations,3.6,(26.5k),26.5k,2L,3.5k,507,796,34
IBM,IT Services & Consulting | Bengaluru +162 other locations,3.9,(25.8k),25.8k,2.2L,2.6k,1.8k,2.6k,23
HDB Financial Services,NBFC | Mumbai +1093 other locations,3.9,(25.8k),25.8k,49k,1.1k,2.1k,1.5k,73
Larsen & Toubro Limited,Engineering & Construction | Chennai +771 other locations,3.9,(24k),24k,77k,1.9k,297,2.5k,65
Deloitte,Management Consulting | Hyderabad +182 other locations,3.7,(23.3k),23.3k,2.7L,3.4k,2k,2.4k,27
Kotak Mahindra Bank,Banking | Mumbai +691 other locations,3.6,(22.5k),22.5k,87.1k,1.4k,167,1.3k,45
Reliance Industries,Oil & Gas | Jamnagar +820 other locations,4.0,(20.3k),20.3k,74.4k,1.6k,86,1.9k,38
Vodafone Idea,Telecom | Pune +705 other locations,3.9,(17.6k),17.6k,49.4k,699,84,2k,22
Bharti Airtel,Telecom | Gurugram +792 other locations,3.8,(17.1k),17.1k,50.1k,1.1k,177,1.6k,101
BYJU'S,EdTech | Bengaluru +321 other locations,3.2,(16.4k),16.4k,53k,2.1k,1,1.7k,28
WNS,IT Services & Consulting | Pune +66 other locations,3.3,(15.3k),15.3k,71.1k,1.3k,84,1.3k,24
IDFC FIRST Bank,Banking | Mumbai +731 other locations,3.9,(14.7k),14.7k,50.3k,986,43,735,96
Ernst & Young,Management Consulting | Bengaluru +135 other locations,3.4,(14.6k),14.6k,1.5L,1.4k,4.7k,1.1k,10
IndusInd Bank,Banking | Mumbai +799 other locations,3.4,(14.3k),14.3k,52.6k,777,151,815,16
AU Small Finance Bank,Banking | Jaipur +803 other locations,3.8,(14.3k),14.3k,29.7k,710,189,595,28
Tata Motors,Automobile | Pune +506 other locations,4.1,(14.2k),14.2k,43k,1.3k,200,1.6k,45
Muthoot FinCorp,NBFC | Bengaluru +1121 other locations,4.5,(13.2k),13.2k,9.5k,2.4k,47,282,103
Bajaj Finserv,NBFC | Pune +1197 other locations,4.0,(13.2k),13.2k,31.9k,777,2,731,19
Flipkart,Internet | Bengaluru +554 other locations,3.9,(13k),13k,56.4k,1.7k,111,1.4k,105
PwC,Management Consulting | Bengaluru +137 other locations,3.3,(12.7k),12.7k,1.3L,1.6k,1.1k,829,24
HDFC Life,Insurance | Mumbai +717 other locations,3.8,(12.1k),12.1k,33.6k,815,114,634,57
Infosys BPM,BPO | Bengaluru +95 other locations,3.5,(12.1k),12.1k,77.2k,1.1k,27,1.1k,8
Mahindra & Mahindra,Automobile | Pune +565 other locations,4.0,(12.1k),12.1k,41k,883,8,1.2k,19
DXC Technology,IT Services & Consulting | Bengaluru +130 other locations,3.6,(12k),12k,75.3k,902,220,1.1k,9
Bandhan Bank,Banking | Kolkata +1013 other locations,3.7,(11.2k),11.2k,25.3k,765,--,538,44
Digitide Solutions,IT Services & Consulting | Hyderabad +274 other locations,3.5,(10.4k),10.4k,26.9k,578,331,778,47
Mphasis,IT Services & Consulting | Bengaluru +64 other locations,3.3,(10.3k),10.3k,75.1k,941,70,855,133
Yes Bank,Banking | Mumbai +541 other locations,3.7,(10.2k),10.2k,42.7k,565,228,629,18
Tata Steel,Iron & Steel | Jamshedpur +226 other locations,4.0,(9.9k),9.9k,34.7k,1.1k,--,675,52
Quess,Recruitment | Bengaluru +758 other locations,3.8,(9.8k),9.8k,31.5k,548,39,452,23
Asian Paints,Chemicals | Mumbai +556 other locations,3.9,(9.6k),9.6k,26.2k,875,84,907,36
Maruti Suzuki,Automobile | Gurugram +457 other locations,4.1,(9.6k),9.6k,28.9k,798,1,1.1k,25
Startek,BPO | Bengaluru +104 other locations,3.0,(9.5k),9.5k,25.1k,653,274,690,16
UltraTech Cement,Building Material | Mumbai +539 other locations,4.1,(9.5k),9.5k,25.2k,811,34,633,47
Paytm,FinTech | Noida +425 other locations,3.2,(9.4k),9.4k,34.4k,904,787,593,24
Bajaj Finance,NBFC | Pune +999 other locations,3.9,(9.3k),9.3k,23.3k,449,6.7k,518,15
Shriram Finance,NBFC | Chennai +1119 other locations,3.9,(9.2k),9.2k,15.9k,459,6,34,46
Sutherland Global Services,BPO | Chennai +82 other locations,3.4,(9.1k),9.1k,35.7k,811,344,913,30
Equitas Small Finance Bank,Banking | Chennai +486 other locations,4.3,(8.9k),8.9k,13.6k,1k,35,413,43
Wells Fargo,Financial Services | Bengaluru +27 other locations,3.6,(8.7k),8.7k,63.3k,698,248,863,13
EXL Service,Analytics & KPO | Noida +61 other locations,3.6,(8.7k),8.7k,45.5k,928,80,809,20
Cipla,Pharma | Mumbai +294 other locations,4.1,(8.6k),8.6k,26.6k,605,13,867,20
Ericsson,Telecom | Noida +161 other locations,3.9,(8.4k),8.4k,42.9k,477,48,1k,17
Samsung,Consumer Electronics & Appliances | Noida +581 other locations,3.9,(8.3k),8.3k,26.5k,634,42,529,16
Dr. Reddy's,Pharma | Hyderabad +215 other locations,4.0,(8.3k),8.3k,26.2k,523,23,750,30
